CountdownTime,AbsoluteTime,RelativeTime,TimeStep,LeftEyePosX,LeftEyePosY,LeftEyePosZ,RightEyePosX,RightEyePosY,RightEyePosZ,LeftEyeHitObject,RightEyeHitObject,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,HeadEulerX,HeadEulerY,HeadEulerZ,LHandPosX,LHandPosY,LHandPosZ,LHandRotX,LHandRotY,LHandRotZ,LHandRotW,LHandEulerX,LHandEulerY,LHandEulerZ,RHandPosX,RHandPosY,RHandPosZ,RHandRotX,RHandRotY,RHandRotZ,RHandRotW,RHandEulerX,RHandEulerY,RHandEulerZ,LeftJoyX,LeftJoyY,RightJoyX,RightJoyY,L_One,L_Two,L_IndexTrigger,L_HandTrigger,L_Start,L_Thumbstick,L_ThumbUp,L_ThumbClick,R_One,R_Two,R_IndexTrigger,R_HandTrigger,R_Start,R_Thumbstick,R_ThumbUp,R_ThumbClick
09:59.8,44:47.6,20.7062,0.013535,0,0,0,0,0,0,None,None,-2.099399,1.28147,1.13351,-0.175481,0.9668183,0.1556084,-0.1012663,344.6123,195.0544,337.3799,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.8,44:47.6,20.7189,0.012632,0,0,0,0,0,0,None,None,-2.099278,1.28143,1.1334,-0.1757159,0.9669187,0.1552571,-0.1004358,344.6363,194.952,337.3723,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.8,44:47.7,20.7327,0.013865,0,0,0,0,0,0,None,None,-2.09919,1.281366,1.133291,-0.1758844,0.9670626,0.1545908,-0.0997816,344.6985,194.8602,337.3768,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.8,44:47.7,20.7469,0.014181,0,0,0,0,0,0,None,None,-2.099084,1.281277,1.133171,-0.1761258,0.9671715,0.1540641,-0.09911289,344.7459,194.7718,337.3697,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.8,44:47.7,20.7605,0.013611,0,0,0,0,0,0,None,None,-2.098978,1.281154,1.133109,-0.1763786,0.9673827,0.1527965,-0.09856287,344.8791,194.6769,337.3755,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.8,44:47.7,20.7747,0.014183,0,0,0,0,0,0,None,None,-2.098829,1.281027,1.133052,-0.1769915,0.9674562,0.1519989,-0.09797362,344.9641,194.5961,337.3288,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.7,44:47.7,20.7881,0.013407,0,0,0,0,0,0,None,None,-2.098704,1.280886,1.133028,-0.1771412,0.9676763,0.1507828,-0.09740729,345.0896,194.4992,337.3454,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.7,44:47.7,20.8023,0.01416,0,0,0,0,0,0,None,None,-2.098552,1.28075,1.132986,-0.1774717,0.9678314,0.1497285,-0.09688964,345.2007,194.4153,337.3363,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.7,44:47.7,20.8163,0.014029,0,0,0,0,0,0,None,None,-2.098373,1.280602,1.132957,-0.1774219,0.9681865,0.1478949,-0.09624688,345.3907,194.29,337.3901,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.7,44:47.8,20.8301,0.013796,0,0,0,0,0,0,None,None,-2.098159,1.280474,1.132871,-0.1776748,0.9684162,0.1466722,-0.09533633,345.5106,194.1552,337.3987,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
