Timestamp,StructureCount,SnapOrientation,ButtonPressed,ChipStatus,DecisionCorrect
09:37.0394,1,Correct,Good,None,False
09:14.5552,2,Correct,Bad,Socket,True
08:47.8411,3,Correct,Good,None,False
